,per_capita_income,median_household_income,median_family_income,population,num_of_households,name,Division Name,School Year,Division Number,Subject,Pass Rate
0,45356.0,115574.0,130432.0,312311.0,104583.0,Loudoun County,Loudoun County,2018-2019,53.0,Mathematics,80.57
1,55389.0,114409.0,142035.0,12332.0,5101.0,Falls Church City,Falls Church City,2018-2019,109.0,Mathematics,76.09
2,49001.0,105416.0,124316.0,1081726.0,391627.0,Fairfax County,Fairfax County,2018-2019,29.0,Mathematics,77.84
3,44008.0,97900.0,110240.0,22565.0,8347.0,Fairfax City,Fairfax City,,,,
4,57724.0,94880.0,126947.0,207627.0,98050.0,Arlington City,Arlington City,,,,
5,34691.0,93065.0,101321.0,128961.0,41769.0,Stafford County,Stafford County,2018-2019,89.0,Mathematics,93.72
6,35737.0,91098.0,99494.0,402002.0,130785.0,Prince William County,Prince William County,2018-2019,75.0,Mathematics,93.01
7,36840.0,84315.0,92479.0,12150.0,4525.0,Poquoson City,Poquoson City,2018-2019,142.0,Mathematics,89.6
8,38710.0,83877.0,97548.0,65203.0,23658.0,Fauquier County,Fauquier County,2018-2019,30.0,Mathematics,49.21
9,35823.0,81055.0,92597.0,65464.0,24006.0,York County,York County,2018-2019,98.0,Mathematics,74.78
10,54345.0,80847.0,102017.0,139966.0,68082.0,Alexandria City,Alexandria City,2018-2019,101.0,Mathematics,79.3
11,38553.0,79574.0,91500.0,21717.0,7998.0,Goochland County,Goochland County,2018-2019,37.0,Mathematics,77.42
12,31012.0,76574.0,84723.0,122397.0,41942.0,Spotsylvania County,Spotsylvania County,2018-2019,88.0,Mathematics,86.52
13,34201.0,76425.0,87756.0,99863.0,36589.0,Hanover County,Hanover County,2018-2019,42.0,Mathematics,65.7
14,32630.0,76241.0,87155.0,23584.0,8376.0,King George County,King George County,2018-2019,48.0,Mathematics,84.43
15,28941.0,75173.0,79893.0,37821.0,12527.0,Manassas City,Manassas City,2018-2019,143.0,Mathematics,72.31
16,38162.0,73903.0,86756.0,67009.0,26860.0,James City County,James City County,,,,
17,25851.0,73593.0,81476.0,28046.0,9494.0,Powhatan County,Powhatan County,2018-2019,72.0,Mathematics,94.78
18,34630.0,73244.0,85946.0,14034.0,5509.0,Clarke County,Clarke County,2018-2019,22.0,Mathematics,87.19
19,31711.0,71321.0,82226.0,316236.0,115680.0,Chesterfield County,Chesterfield County,2018-2019,21.0,Mathematics,69.98
20,31741.0,70590.0,78718.0,18429.0,6813.0,New Kent County,New Kent County,2018-2019,63.0,Mathematics,62.08
