"School Year","Division Number","Division Name","School Number","School Name","Subject","Test Source","Pass Rate"
"2018-2019","1","Accomack County","701","Accawmacke Elementary","Mathematics","SOL","78.60"
"2018-2019","1","Accomack County","540","Arcadia High","Mathematics","SOL","83.39"
"2018-2019","1","Accomack County","704","Arcadia Middle","Mathematics","SOL","79.30"
"2018-2019","1","Accomack County","80","Chincoteague Elementary","Mathematics","SOL","89.19"
"2018-2019","1","Accomack County","580","Chincoteague High","Mathematics","SOL","91.33"
"2018-2019","1","Accomack County","600","Kegotank Elementary","Mathematics","SOL","75.18"
"2018-2019","1","Accomack County","702","Metompkin Elementary","Mathematics","SOL","69.61"
"2018-2019","1","Accomack County","70","Nandua High","Mathematics","SOL","86.07"
"2018-2019","1","Accomack County","703","Nandua Middle","Mathematics","SOL","80.99"
"2018-2019","1","Accomack County","590","Pungoteague Elementary","Mathematics","SOL","82.76"
"2018-2019","1","Accomack County","530","Tangier Combined","Mathematics","SOL","84.38"
"2018-2019","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","SOL","68.24"
"2018-2019","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","SOL","70.83"
"2018-2019","2","Albemarle County","880","Albemarle High","Mathematics","SOL","76.21"
"2018-2019","2","Albemarle County","1053","Baker-Butler Elem","Mathematics","SOL","90.35"
"2018-2019","2","Albemarle County","100","Broadus Wood Elementary","Mathematics","SOL","84.56"
"2018-2019","2","Albemarle County","941","Brownsville Elementary","Mathematics","SOL","87.07"
"2018-2019","2","Albemarle County","340","Crozet Elementary","Mathematics","SOL","82.20"
"2018-2019","2","Albemarle County","10","Hollymead Elementary","Mathematics","SOL","90.27"
"2018-2019","2","Albemarle County","950","Jack Jouett Middle","Mathematics","SOL","76.12"
"2018-2019","2","Albemarle County","69","Jackson P. Burley Middle","Mathematics","SOL","86.04"
"2018-2019","2","Albemarle County","942","Joseph T. Henley Middle","Mathematics","SOL","89.16"
"2018-2019","2","Albemarle County","20","Leslie H. Walton Middle","Mathematics","SOL","83.94"
"2018-2019","2","Albemarle County","40","Mary Carr Greer Elementary","Mathematics","SOL","63.97"
"2018-2019","2","Albemarle County","250","Meriwether Lewis Elementary","Mathematics","SOL","94.17"
"2018-2019","2","Albemarle County","1052","Monticello High","Mathematics","SOL","69.98"
"2018-2019","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","Mathematics","SOL","87.19"
"2018-2019","2","Albemarle County","890","Murray High","Mathematics","SOL","82.93"
"2018-2019","2","Albemarle County","150","Paul H. Cale Elementary","Mathematics","SOL","70.53"
"2018-2019","2","Albemarle County","540","Red Hill Elementary","Mathematics","SOL","72.22"
"2018-2019","2","Albemarle County","30","Scottsville Elementary","Mathematics","SOL","74.36"
"2018-2019","2","Albemarle County","920","Stone Robinson Elementary","Mathematics","SOL","88.77"
"2018-2019","2","Albemarle County","240","Stony Point Elementary","Mathematics","SOL","82.64"
"2018-2019","2","Albemarle County","910","Virginia L. Murray Elementary","Mathematics","SOL","95.42"
"2018-2019","2","Albemarle County","140","Western Albemarle High","Mathematics","SOL","85.96"
"2018-2019","2","Albemarle County","930","Woodbrook Elementary","Mathematics","SOL","73.25"
"2018-2019","101","Alexandria City","120","Charles Barrett Elementary","Mathematics","SOL","81.78"
"2018-2019","101","Alexandria City","160","Cora Kelly Magnet Elementary","Mathematics","SOL","77.84"
"2018-2019","101","Alexandria City","110","Douglas Macarthur Elementary","Mathematics","SOL","76.09"
"2018-2019","101","Alexandria City","350","Ferdinand T. Day Elementary","Mathematics","SOL","49.21"
"2018-2019","101","Alexandria City","140","Francis C. Hammond Middle","Mathematics","SOL","67.83"
"2018-2019","101","Alexandria City","100","George Mason Elementary","Mathematics","SOL","78.99"
"2018-2019","101","Alexandria City","130","George Washington Middle","Mathematics","SOL","75.15"
"2018-2019","101","Alexandria City","220","James K. Polk Elementary","Mathematics","SOL","78.89"
"2018-2019","101","Alexandria City","90","Jefferson-Houston Elementary","Mathematics","SOL","58.99"
"2018-2019","101","Alexandria City","230","John Adams Elementary","Mathematics","SOL","77.01"
"2018-2019","101","Alexandria City","80","Lyles-Crouch Elementary","Mathematics","SOL","89.27"
"2018-2019","101","Alexandria City","60","Maury Elementary","Mathematics","SOL","72.38"
"2018-2019","101","Alexandria City","30","Mount Vernon Elementary","Mathematics","SOL","63.92"
"2018-2019","101","Alexandria City","50","Patrick Henry Elementary","Mathematics","SOL","77.42"
"2018-2019","101","Alexandria City","333","Samuel W. Tucker Elementary","Mathematics","SOL","78.08"
"2018-2019","101","Alexandria City","210","T.C. Williams High","Mathematics","SOL","64.92"
"2018-2019","101","Alexandria City","190","William Ramsay Elementary","Mathematics","SOL","56.11"
"2018-2019","3","Alleghany County","310","Alleghany High","Mathematics","SOL","64.26"
"2018-2019","3","Alleghany County","110","Callaghan Elementary","Mathematics","SOL","83.16"
"2018-2019","3","Alleghany County","1040","Clifton Middle","Mathematics","SOL","65.70"
"2018-2019","3","Alleghany County","1041","Mountain View Elementary","Mathematics","SOL","75.58"
"2018-2019","3","Alleghany County","90","Sharon Elementary","Mathematics","SOL","80.00"
"2018-2019","4","Amelia County","220","Amelia County Elementary","Mathematics","SOL","84.27"
"2018-2019","4","Amelia County","10","Amelia County High","Mathematics","SOL","92.89"
"2018-2019","4","Amelia County","210","Amelia County Middle","Mathematics","SOL","84.23"
"2018-2019","5","Amherst County","780","Amelon Elementary","Mathematics","SOL","79.26"
"2018-2019","5","Amherst County","750","Amherst County High","Mathematics","SOL","84.43"
"2018-2019","5","Amherst County","790","Amherst Elementary","Mathematics","SOL","89.12"
"2018-2019","5","Amherst County","670","Amherst Middle","Mathematics","SOL","81.20"
"2018-2019","5","Amherst County","770","Central Elementary","Mathematics","SOL","76.32"
"2018-2019","5","Amherst County","760","Elon Elementary","Mathematics","SOL","87.12"
"2018-2019","5","Amherst County","500","Madison Heights Elementary","Mathematics","SOL","77.04"
"2018-2019","5","Amherst County","20","Monelison Middle","Mathematics","SOL","80.57"
"2018-2019","5","Amherst County","740","Temperance Elementary","Mathematics","SOL","94.74"
"2018-2019","6","Appomattox County","260","Appomattox County High","Mathematics","SOL","87.14"
"2018-2019","6","Appomattox County","110","Appomattox Elementary","Mathematics","SOL","82.41"
"2018-2019","6","Appomattox County","160","Appomattox Middle","Mathematics","SOL","84.78"
"2018-2019","7","Arlington County","350","Abingdon Elementary","Mathematics","SOL","72.31"
"2018-2019","7","Arlington County","618","Arlington Community High","Mathematics","SOL","80.00"
"2018-2019","7","Arlington County","613","Arlington Science Focus","Mathematics","SOL","96.91"
"2018-2019","7","Arlington County","470","Arlington Traditional","Mathematics","SOL","98.13"
"2018-2019","7","Arlington County","490","Ashlawn Elementary","Mathematics","SOL","89.10"
"2018-2019","7","Arlington County","150","Barcroft Elementary","Mathematics","SOL","75.86"
"2018-2019","7","Arlington County","250","Barrett Elementary","Mathematics","SOL","72.41"
"2018-2019","7","Arlington County","615","Campbell Elementary","Mathematics","SOL","85.86"
"2018-2019","7","Arlington County","90","Carlin Springs Elementary","Mathematics","SOL","62.08"
"2018-2019","7","Arlington County","622","Claremont Immersion","Mathematics","SOL","85.34"
"2018-2019","7","Arlington County","626","Discovery Elementary","Mathematics","SOL","95.47"
"2018-2019","7","Arlington County","200","Drew Model Elementary","Mathematics","SOL","75.19"
"2018-2019","7","Arlington County","111","Francis Scott Key Elementary","Mathematics","SOL","83.44"
"2018-2019","7","Arlington County","100","Glebe Elementary","Mathematics","SOL","96.27"
"2018-2019","7","Arlington County","611","Gunston Middle","Mathematics","SOL","82.71"
"2018-2019","7","Arlington County","160","Henry Elementary","Mathematics","SOL","87.97"
"2018-2019","7","Arlington County","614","Hoffman-Boston Elementary","Mathematics","SOL","86.63"
"2018-2019","7","Arlington County","440","Jamestown Elementary","Mathematics","SOL","95.21"
"2018-2019","7","Arlington County","180","Jefferson Middle","Mathematics","SOL","80.94"
"2018-2019","7","Arlington County","500","Kenmore Middle","Mathematics","SOL","82.69"
"2018-2019","7","Arlington County","460","Long Branch Elementary","Mathematics","SOL","89.60"
"2018-2019","7","Arlington County","380","McKinley Elementary","Mathematics","SOL","93.63"
"2018-2019","7","Arlington County","410","Nottingham Elementary","Mathematics","SOL","94.78"
"2018-2019","7","Arlington County","360","Oakridge Elementary","Mathematics","SOL","87.26"
"2018-2019","7","Arlington County","510","Randolph Elementary","Mathematics","SOL","81.11"
"2018-2019","7","Arlington County","240","Swanson Middle","Mathematics","SOL","93.01"
"2018-2019","7","Arlington County","420","Taylor Elementary","Mathematics","SOL","96.33"
"2018-2019","7","Arlington County","211","Tuckahoe Elementary","Mathematics","SOL","95.29"
"2018-2019","7","Arlington County","450","Wakefield High","Mathematics","SOL","84.18"
"2018-2019","7","Arlington County","80","Washington-Lee High","Mathematics","SOL","86.23"
"2018-2019","7","Arlington County","480","Williamsburg Middle","Mathematics","SOL","94.67"
"2018-2019","7","Arlington County","330","Yorktown High","Mathematics","SOL","92.30"
"2018-2019","8","Augusta County","212","Beverley Manor Middle","Mathematics","SOL","77.01"
"2018-2019","8","Augusta County","660","Buffalo Gap High","Mathematics","SOL","93.65"
"2018-2019","8","Augusta County","30","Cassell Elementary","Mathematics","SOL","86.44"
"2018-2019","8","Augusta County","140","Churchville Elementary","Mathematics","SOL","83.66"
"2018-2019","8","Augusta County","370","Craigsville Elementary","Mathematics","SOL","68.25"
"2018-2019","8","Augusta County","842","Edward G. Clymore Elementary","Mathematics","SOL","85.34"
"2018-2019","8","Augusta County","670","Fort Defiance High","Mathematics","SOL","88.78"
"2018-2019","8","Augusta County","843","Guy K. Stump Elementary","Mathematics","SOL","82.90"
"2018-2019","8","Augusta County","40","North River Elementary","Mathematics","SOL","81.60"
"2018-2019","8","Augusta County","740","Riverheads Elementary","Mathematics","SOL","86.52"
"2018-2019","8","Augusta County","680","Riverheads High","Mathematics","SOL","93.72"
"2018-2019","8","Augusta County","90","S. Gordon Stewart Middle","Mathematics","SOL","83.13"
"2018-2019","8","Augusta County","440","Stuarts Draft Elementary","Mathematics","SOL","74.46"
"2018-2019","8","Augusta County","730","Stuarts Draft High","Mathematics","SOL","93.29"
"2018-2019","8","Augusta County","60","Stuarts Draft Middle","Mathematics","SOL","82.69"
"2018-2019","8","Augusta County","640","Wilson Elementary","Mathematics","SOL","81.11"
"2018-2019","8","Augusta County","720","Wilson Memorial High","Mathematics","SOL","89.49"
"2018-2019","8","Augusta County","844","Wilson Middle","Mathematics","SOL","81.00"
"2018-2019","9","Bath County","140","Bath County High","Mathematics","SOL","85.44"
"2018-2019","9","Bath County","120","Millboro Elementary","Mathematics","SOL","92.59"
"2018-2019","9","Bath County","150","Valley Elementary","Mathematics","SOL","84.40"
"2018-2019","10","Bedford County","480","Bedford Elementary","Mathematics","SOL","74.29"
"2018-2019","10","Bedford County","30","Big Island Elementary","Mathematics","SOL","89.61"
"2018-2019","10","Bedford County","160","Boonsboro Elementary","Mathematics","SOL","87.58"
"2018-2019","10","Bedford County","500","Forest Elementary","Mathematics","SOL","90.32"
"2018-2019","10","Bedford County","1211","Forest Middle","Mathematics","SOL","89.11"
"2018-2019","10","Bedford County","1214","Goodview Elementary","Mathematics","SOL","74.78"
"2018-2019","10","Bedford County","980","Huddleston Elementary","Mathematics","SOL","82.61"
"2018-2019","10","Bedford County","1212","Jefferson Forest High","Mathematics","SOL","93.98"
"2018-2019","10","Bedford County","1180","Liberty High","Mathematics","SOL","62.20"
"2018-2019","10","Bedford County","490","Liberty Middle","Mathematics","SOL","79.74"
"2018-2019","10","Bedford County","970","Moneta Elementary","Mathematics","SOL","84.54"
"2018-2019","10","Bedford County","180","Montvale Elementary","Mathematics","SOL","83.85"
"2018-2019","10","Bedford County","610","New London Academy Elementary","Mathematics","SOL","90.91"
"2018-2019","10","Bedford County","1170","Otter River Elementary","Mathematics","SOL","84.47"
"2018-2019","10","Bedford County","1190","Staunton River High","Mathematics","SOL","90.67"
"2018-2019","10","Bedford County","1191","Staunton River Middle","Mathematics","SOL","72.71"
"2018-2019","10","Bedford County","640","Stewartsville Elementary","Mathematics","SOL","84.85"
"2018-2019","10","Bedford County","1213","Thomas Jefferson Elementary","Mathematics","SOL","88.18"
"2018-2019","11","Bland County","250","Bland County Elementary","Mathematics","SOL","85.17"
"2018-2019","11","Bland County","260","Bland County High","Mathematics","SOL","89.00"
"2018-2019","12","Botetourt County","220","Breckinridge Elementary","Mathematics","SOL","89.72"
"2018-2019","12","Botetourt County","20","Buchanan Elementary","Mathematics","SOL","88.71"
"2018-2019","12","Botetourt County","420","Central Academy Middle","Mathematics","SOL","92.43"
"2018-2019","12","Botetourt County","390","Cloverdale Elementary","Mathematics","SOL","91.67"
"2018-2019","12","Botetourt County","400","Colonial Elementary","Mathematics","SOL","91.26"
"2018-2019","12","Botetourt County","30","Eagle Rock Elementary","Mathematics","SOL","90.67"
"2018-2019","12","Botetourt County","460","Greenfield Elementary","Mathematics","SOL","90.63"
"2018-2019","12","Botetourt County","430","James River High","Mathematics","SOL","90.34"
"2018-2019","12","Botetourt County","440","Lord Botetourt High","Mathematics","SOL","91.31"
"2018-2019","12","Botetourt County","450","Read Mountain Middle","Mathematics","SOL","87.41"
"2018-2019","12","Botetourt County","40","Troutville Elementary","Mathematics","SOL","92.97"
"2018-2019","102","Bristol City","60","Highland View Elementary","Mathematics","SOL","84.62"
"2018-2019","102","Bristol City","100","Joseph Van Pelt Elementary","Mathematics","SOL","77.30"
"2018-2019","102","Bristol City","70","Stonewall Jackson Elementary","Mathematics","SOL","83.74"
"2018-2019","102","Bristol City","80","Virginia High","Mathematics","SOL","81.44"
"2018-2019","102","Bristol City","10","Virginia Middle","Mathematics","SOL","78.13"
"2018-2019","102","Bristol City","90","Washington-Lee Elementary","Mathematics","SOL","91.40"
"2018-2019","13","Brunswick County","650","Brunswick High","Mathematics","SOL","61.57"
"2018-2019","13","Brunswick County","660","James S. Russell Middle","Mathematics","SOL","61.66"
"2018-2019","13","Brunswick County","690","Meherrin Powellton Elementary","Mathematics","SOL","80.67"
"2018-2019","13","Brunswick County","700","Red Oak-Sturgeon Elementary","Mathematics","SOL","79.05"
"2018-2019","13","Brunswick County","720","Totaro Elementary","Mathematics","SOL","66.41"
"2018-2019","14","Buchanan County","90","Council Elementary/Middle School","Mathematics","SOL","84.87"
"2018-2019","14","Buchanan County","1000","Council High","Mathematics","SOL","87.14"
"2018-2019","14","Buchanan County","990","Grundy High","Mathematics","SOL","85.23"
"2018-2019","14","Buchanan County","120","Hurley Elementary/Middle","Mathematics","SOL","75.42"
"2018-2019","14","Buchanan County","1020","Hurley High","Mathematics","SOL","82.14"
"2018-2019","14","Buchanan County","1040","Riverview Elementary/Middle","Mathematics","SOL","73.45"
"2018-2019","14","Buchanan County","1041","Twin Valley Elementary/Middle","Mathematics","SOL","81.16"
"2018-2019","14","Buchanan County","1042","Twin Valley High","Mathematics","SOL","88.57"
"2018-2019","15","Buckingham County","724","Buckingham Co Elementary","Mathematics","SOL","65.10"
"2018-2019","15","Buckingham County","700","Buckingham County High","Mathematics","SOL","72.54"
"2018-2019","15","Buckingham County","721","Buckingham County Middle","Mathematics","SOL","82.03"
"2018-2019","103","Buena Vista City","40","Enderly Heights Elementary","Mathematics","SOL","86.47"
"2018-2019","103","Buena Vista City","62","Parry McCluer High","Mathematics","SOL","78.64"
"2018-2019","103","Buena Vista City","61","Parry McCluer Middle","Mathematics","SOL","86.36"
"2018-2019","16","Campbell County","560","Altavista Elementary","Mathematics","SOL","83.67"
"2018-2019","16","Campbell County","200","Altavista High","Mathematics","SOL","82.76"
"2018-2019","16","Campbell County","650","Brookneal Elementary","Mathematics","SOL","89.31"
"2018-2019","16","Campbell County","720","Brookville High","Mathematics","SOL","91.62"
"2018-2019","16","Campbell County","20","Brookville Middle","Mathematics","SOL","86.29"
"2018-2019","16","Campbell County","130","Concord Elementary","Mathematics","SOL","83.42"
"2018-2019","16","Campbell County","690","Leesville Road Elementary","Mathematics","SOL","89.76"
"2018-2019","16","Campbell County","821","Rustburg Elementary","Mathematics","SOL","83.10"
"2018-2019","16","Campbell County","222","Rustburg High","Mathematics","SOL","84.78"
"2018-2019","16","Campbell County","211","Rustburg Middle","Mathematics","SOL","78.35"
"2018-2019","16","Campbell County","60","Tomahawk Elementary","Mathematics","SOL","91.99"
"2018-2019","16","Campbell County","542","William Campbell High","Mathematics","SOL","67.07"
"2018-2019","16","Campbell County","710","Yellow Branch Elementary","Mathematics","SOL","79.51"
"2018-2019","17","Caroline County","620","Bowling Green Elementary","Mathematics","SOL","71.34"
"2018-2019","17","Caroline County","460","Caroline High","Mathematics","SOL","77.90"
"2018-2019","17","Caroline County","450","Caroline Middle","Mathematics","SOL","67.62"
"2018-2019","17","Caroline County","9020","Lewis & Clark Elementary","Mathematics","SOL","87.68"
"2018-2019","17","Caroline County","630","Madison Elementary","Mathematics","SOL","78.32"
"2018-2019","18","Carroll County","1230","Carroll County High","Mathematics","SOL","78.05"
"2018-2019","18","Carroll County","450","Carroll County Middle","Mathematics","SOL","85.05"
"2018-2019","18","Carroll County","1180","Fancy Gap Elementary","Mathematics","SOL","98.51"
"2018-2019","18","Carroll County","1150","Gladesboro Elementary","Mathematics","SOL","85.71"
"2018-2019","18","Carroll County","1210","Gladeville Elementary","Mathematics","SOL","87.59"
"2018-2019","18","Carroll County","1170","Hillsville Elementary","Mathematics","SOL","84.17"
"2018-2019","18","Carroll County","1160","Laurel Elementary","Mathematics","SOL","91.82"
"2018-2019","18","Carroll County","1130","Oakland Elementary","Mathematics","SOL","82.72"
"2018-2019","18","Carroll County","1110","St. Paul","Mathematics","SOL","85.98"
"2018-2019","19","Charles City County","80","Charles City County Elementary","Mathematics","SOL","72.90"
"2018-2019","19","Charles City County","100","Charles City County High","Mathematics","SOL","63.98"
"2018-2019","20","Charlotte County","470","Bacon District Elementary","Mathematics","SOL","80.77"
"2018-2019","20","Charlotte County","210","Central Middle","Mathematics","SOL","86.88"
"2018-2019","20","Charlotte County","100","Eureka Elementary","Mathematics","SOL","92.75"
"2018-2019","20","Charlotte County","450","Phenix Elementary","Mathematics","SOL","89.52"
"2018-2019","20","Charlotte County","460","Randolph-Henry High","Mathematics","SOL","80.34"
"2018-2019","104","Charlottesville City","100","Buford Middle","Mathematics","SOL","70.16"
"2018-2019","104","Charlottesville City","70","Burnley-Moran Elementary","Mathematics","SOL","74.63"
"2018-2019","104","Charlottesville City","140","Charlottesville High","Mathematics","SOL","82.95"
"2018-2019","104","Charlottesville City","50","Clark Elementary","Mathematics","SOL","70.83"
"2018-2019","104","Charlottesville City","90","Greenbrier Elementary","Mathematics","SOL","77.22"
"2018-2019","104","Charlottesville City","120","Jackson-Via Elementary","Mathematics","SOL","68.14"
"2018-2019","104","Charlottesville City","10","Johnson Elementary","Mathematics","SOL","67.86"
"2018-2019","104","Charlottesville City","40","Venable Elementary","Mathematics","SOL","85.32"
"2018-2019","104","Charlottesville City","110","Walker Upper Elementary","Mathematics","SOL","64.45"
"2018-2019","136","Chesapeake City","860","Butts Road Intermediate","Mathematics","SOL","94.40"
"2018-2019","136","Chesapeake City","90","Camelot Elementary","Mathematics","SOL","88.35"
"2018-2019","136","Chesapeake City","900","Cedar Road Elementary","Mathematics","SOL","94.19"
"2018-2019","136","Chesapeake City","700","Crestwood Intermediate","Mathematics","SOL","84.50"
"2018-2019","136","Chesapeake City","560","Crestwood Middle","Mathematics","SOL","83.48"
"2018-2019","136","Chesapeake City","660","Deep Creek Central Elementary","Mathematics","SOL","92.76"
"2018-2019","136","Chesapeake City","210","Deep Creek Elementary","Mathematics","SOL","90.24"
"2018-2019","136","Chesapeake City","100","Deep Creek High","Mathematics","SOL","91.97"
"2018-2019","136","Chesapeake City","610","Deep Creek Middle","Mathematics","SOL","79.23"
"2018-2019","136","Chesapeake City","640","Edwin W. Chittum Elementary","Mathematics","SOL","88.30"
"2018-2019","136","Chesapeake City","720","G.A. Treakle Elementary","Mathematics","SOL","77.17"
"2018-2019","136","Chesapeake City","50","George W. Carver Intermediate","Mathematics","SOL","79.67"
"2018-2019","136","Chesapeake City","820","Georgetown Primary","Mathematics","SOL","90.06"
"2018-2019","136","Chesapeake City","950","Grassfield Elementary","Mathematics","SOL","95.32"
"2018-2019","136","Chesapeake City","960","Grassfield High","Mathematics","SOL","96.92"
"2018-2019","136","Chesapeake City","120","Great Bridge High","Mathematics","SOL","90.14"
"2018-2019","136","Chesapeake City","850","Great Bridge Intermediate","Mathematics","SOL","93.20"
"2018-2019","136","Chesapeake City","590","Great Bridge Middle","Mathematics","SOL","91.43"
"2018-2019","136","Chesapeake City","870","Greenbrier Intermediate","Mathematics","SOL","79.31"
"2018-2019","136","Chesapeake City","972","Greenbrier Middle","Mathematics","SOL","85.50"
"2018-2019","136","Chesapeake City","340","Hickory Elementary","Mathematics","SOL","88.42"
"2018-2019","136","Chesapeake City","890","Hickory High","Mathematics","SOL","96.73"
"2018-2019","136","Chesapeake City","280","Hickory Middle","Mathematics","SOL","90.74"
"2018-2019","136","Chesapeake City","920","Hugo A. Owens Middle","Mathematics","SOL","91.89"
"2018-2019","136","Chesapeake City","830","Indian River High","Mathematics","SOL","84.41"
"2018-2019","136","Chesapeake City","710","Indian River Middle","Mathematics","SOL","82.44"
"2018-2019","136","Chesapeake City","973","Jolliff Middle","Mathematics","SOL","87.44"
"2018-2019","136","Chesapeake City","160","Norfolk Highlands Primary","Mathematics","SOL","80.00"
"2018-2019","136","Chesapeake City","80","Oscar F. Smith High","Mathematics","SOL","85.75"
"2018-2019","136","Chesapeake City","10","Oscar Smith Middle","Mathematics","SOL","64.91"
"2018-2019","136","Chesapeake City","620","Southeastern Elementary","Mathematics","SOL","94.81"
"2018-2019","136","Chesapeake City","600","Southwestern Elementary","Mathematics","SOL","78.33"
"2018-2019","136","Chesapeake City","750","Sparrow Road Intermediate","Mathematics","SOL","79.02"
"2018-2019","136","Chesapeake City","40","Thurgood Marshall Elementary","Mathematics","SOL","89.40"
"2018-2019","136","Chesapeake City","971","Truitt Intermediate","Mathematics","SOL","77.42"
"2018-2019","136","Chesapeake City","840","Western Branch High","Mathematics","SOL","93.35"
"2018-2019","136","Chesapeake City","810","Western Branch Intermediate","Mathematics","SOL","84.44"
"2018-2019","136","Chesapeake City","740","Western Branch Middle","Mathematics","SOL","83.22"
"2018-2019","21","Chesterfield County","620","A.M. Davis Elementary","Mathematics","SOL","83.38"
"2018-2019","21","Chesterfield County","861","Alberta Smith Elementary","Mathematics","SOL","90.17"
"2018-2019","21","Chesterfield County","631","Bailey Bridge Middle","Mathematics","SOL","81.85"
"2018-2019","21","Chesterfield County","660","Bellwood Elementary","Mathematics","SOL","72.27"
"2018-2019","21","Chesterfield County","430","Bensley Elementary","Mathematics","SOL","82.64"
"2018-2019","21","Chesterfield County","510","Bettie Weaver Elementary","Mathematics","SOL","92.99"
"2018-2019","21","Chesterfield County","130","Beulah Elementary","Mathematics","SOL","82.73"
"2018-2019","21","Chesterfield County","20","Bon Air Elementary","Mathematics","SOL","88.51"
"2018-2019","21","Chesterfield County","50","C.C. Wells Elementary","Mathematics","SOL","76.69"
"2018-2019","21","Chesterfield County","492","C.E. Curtis Elementary","Mathematics","SOL","82.51"
"2018-2019","21","Chesterfield County","30","Carver College and Career Academy","Mathematics","SOL","62.24"
"2018-2019","21","Chesterfield County","420","Carver Middle","Mathematics","SOL","67.47"
"2018-2019","21","Chesterfield County","150","Clover Hill Elementary","Mathematics","SOL","91.77"
"2018-2019","21","Chesterfield County","740","Clover Hill High","Mathematics","SOL","80.95"
"2018-2019","21","Chesterfield County","840","Cosby High","Mathematics","SOL","96.34"
"2018-2019","21","Chesterfield County","560","Crestwood Elementary","Mathematics","SOL","84.50"
"2018-2019","21","Chesterfield County","480","Ecoff Elementary","Mathematics","SOL","77.25"
"2018-2019","21","Chesterfield County","870","Elizabeth Davis Middle","Mathematics","SOL","82.43"
"2018-2019","21","Chesterfield County","850","Elizabeth Scott Elementary","Mathematics","SOL","90.02"
"2018-2019","21","Chesterfield County","390","Enon Elementary","Mathematics","SOL","84.40"
"2018-2019","21","Chesterfield County","350","Ettrick Elementary","Mathematics","SOL","79.58"
