"School Year","Division Number","Division Name","Subject","Pass Rate"
"2018-2019","1","Accomack County","Mathematics","80.65"
"2018-2019","2","Albemarle County","Mathematics","81.37"
"2018-2019","101","Alexandria City","Mathematics","70.32"
"2018-2019","3","Alleghany County","Mathematics","69.14"
"2018-2019","4","Amelia County","Mathematics","86.13"
"2018-2019","5","Amherst County","Mathematics","81.95"
"2018-2019","6","Appomattox County","Mathematics","84.14"
"2018-2019","7","Arlington County","Mathematics","87.36"
"2018-2019","8","Augusta County","Mathematics","83.80"
"2018-2019","9","Bath County","Mathematics","87.33"
"2018-2019","10","Bedford County","Mathematics","83.08"
"2018-2019","11","Bland County","Mathematics","87.04"
"2018-2019","12","Botetourt County","Mathematics","89.62"
"2018-2019","102","Bristol City","Mathematics","80.78"
"2018-2019","13","Brunswick County","Mathematics","67.33"
"2018-2019","14","Buchanan County","Mathematics","79.21"
"2018-2019","15","Buckingham County","Mathematics","72.49"
"2018-2019","103","Buena Vista City","Mathematics","82.00"
"2018-2019","16","Campbell County","Mathematics","83.91"
"2018-2019","17","Caroline County","Mathematics","74.94"
"2018-2019","18","Carroll County","Mathematics","84.14"
"2018-2019","19","Charles City County","Mathematics","67.29"
"2018-2019","20","Charlotte County","Mathematics","85.36"
"2018-2019","104","Charlottesville City","Mathematics","71.60"
"2018-2019","136","Chesapeake City","Mathematics","86.71"
"2018-2019","21","Chesterfield County","Mathematics","81.90"
"2018-2019","22","Clarke County","Mathematics","79.83"
"2018-2019","202","Colonial Beach","Mathematics","76.47"
"2018-2019","106","Colonial Heights City","Mathematics","82.73"
"2018-2019","107","Covington City","Mathematics","67.85"
"2018-2019","23","Craig County","Mathematics","72.62"
"2018-2019","24","Culpeper County","Mathematics","82.58"
"2018-2019","25","Cumberland County","Mathematics","75.53"
"2018-2019","108","Danville City","Mathematics","51.41"
"2018-2019","26","Dickenson County","Mathematics","89.35"
"2018-2019","27","Dinwiddie County","Mathematics","80.55"
"2018-2019","28","Essex County","Mathematics","64.97"
"2018-2019","29","Fairfax County","Mathematics","85.67"
"2018-2019","109","Falls Church City","Mathematics","90.52"
"2018-2019","30","Fauquier County","Mathematics","79.03"
"2018-2019","31","Floyd County","Mathematics","81.18"
"2018-2019","32","Fluvanna County","Mathematics","83.82"
"2018-2019","135","Franklin City","Mathematics","69.40"
"2018-2019","33","Franklin County","Mathematics","85.51"
"2018-2019","34","Frederick County","Mathematics","79.26"
"2018-2019","110","Fredericksburg City","Mathematics","61.07"
"2018-2019","111","Galax City","Mathematics","88.49"
"2018-2019","35","Giles County","Mathematics","82.00"
"2018-2019","36","Gloucester County","Mathematics","86.43"
"2018-2019","37","Goochland County","Mathematics","83.48"
"2018-2019","38","Grayson County","Mathematics","86.95"
"2018-2019","39","Greene County","Mathematics","76.74"
"2018-2019","40","Greensville County","Mathematics","68.13"
"2018-2019","41","Halifax County","Mathematics","79.54"
"2018-2019","112","Hampton City","Mathematics","80.68"
"2018-2019","42","Hanover County","Mathematics","89.18"
"2018-2019","113","Harrisonburg City","Mathematics","71.84"
"2018-2019","43","Henrico County","Mathematics","80.63"
"2018-2019","44","Henry County","Mathematics","82.24"
"2018-2019","45","Highland County","Mathematics","84.76"
"2018-2019","114","Hopewell City","Mathematics","76.25"
"2018-2019","46","Isle of Wight County","Mathematics","82.50"
"2018-2019","48","King George County","Mathematics","84.76"
"2018-2019","50","King William County","Mathematics","76.92"
"2018-2019","49","King and Queen County","Mathematics","77.81"
"2018-2019","51","Lancaster County","Mathematics","69.93"
"2018-2019","52","Lee County","Mathematics","84.16"
